Wind Load Type,Glass Type,Glass sub-type 1,Nominal Thickness (mm),Support Condition,AR,k1,k2,k3,k4
ULS,Monolithic,Annealed,12,2-edge,Independent,2146.9,0,-0.5,0
ULS,Monolithic,Annealed,15,4-edge,1,6685.2,0.183827,-0.6124,21.75
ULS,Monolithic,Annealed,15,4-edge,1.25,5900.5,0.147062,-0.6071,-7.25
ULS,Monolithic,Annealed,15,4-edge,1.5,5582.8,0.147062,-0.6423,-117.45
ULS,Monolithic,Annealed,15,4-edge,1.75,5590.3,0.220593,-0.7112,-65.25
ULS,Monolithic,Annealed,15,4-edge,2,5657.8,0.294124,-0.7642,-58
ULS,Monolithic,Annealed,15,4-edge,2.5,4907.6,0.220593,-0.7255,14.5
ULS,Monolithic,Annealed,15,4-edge,3,2975.3,-0.22059,-0.4881,-43.5
ULS,Monolithic,Annealed,15,4-edge,5,2911.9,0,-0.5,0
ULS,Monolithic,Annealed,15,2-edge,Independent,2600.3,0,-0.5,0
ULS,Monolithic,Annealed,19,4-edge,1,8056.1,0.175127,-0.6124,27
ULS,Monolithic,Annealed,19,4-edge,1.25,7112.3,0.140102,-0.6071,-9
ULS,Monolithic,Annealed,19,4-edge,1.5,6717.8,0.140102,-0.6423,-145.8
ULS,Monolithic,Annealed,19,4-edge,1.75,6704.5,0.210152,-0.7112,-81
ULS,Monolithic,Annealed,19,4-edge,2,6768,0.280203,-0.7642,-72
ULS,Monolithic,Annealed,19,4-edge,2.5,5881.7,0.210152,-0.7255,18
ULS,Monolithic,Annealed,19,4-edge,3,3607.1,-0.21015,-0.4881,-54
ULS,Monolithic,Annealed,19,4-edge,5,3528.2,0,-0.5,0
ULS,Monolithic,Annealed,19,2-edge,Independent,3150.6,0,-0.5,0
ULS,Monolithic,Annealed,25,4-edge,1,10118.2,0.164398,-0.6124,35.25
ULS,Monolithic,Annealed,25,4-edge,1.25,8935.8,0.131519,-0.6071,-11.75
ULS,Monolithic,Annealed,25,4-edge,1.5,8421.5,0.131519,-0.6423,-190.35
ULS,Monolithic,Annealed,25,4-edge,1.75,8368.2,0.197278,-0.7112,-105.75
ULS,Monolithic,Annealed,25,4-edge,2,8419.2,0.263037,-0.7642,-94
ULS,Monolithic,Annealed,25,4-edge,2.5,7334.6,0.197278,-0.7255,23.5
ULS,Monolithic,Annealed,25,4-edge,3,4566.2,-0.19728,-0.4881,-70.5
ULS,Monolithic,Annealed,25,4-edge,5,4462.9,0,-0.5,0
ULS,Monolithic,Annealed,25,2-edge,Independent,3985.3,0,-0.5,0
ULS,Monolithic,Toughened,4,4-edge,1,3594.2,0.59428,-0.6124,5.7
ULS,Monolithic,Toughened,4,4-edge,1.25,3152.6,0.475424,-0.6071,-1.9
ULS,Monolithic,Toughened,4,4-edge,1.5,3108.6,0.475424,-0.6423,-30.78
